Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6,Phase 7
10.0,15.0,5.0,12.0,80.0,10.0,18.0
10.0,15.0,5.0,12.0,80.0,10.0,18.0
"[{'well': 'A1', 'labware': 'NEST 12 Well Reservoir 15 mL', 'slot': 4}]","[{'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}]","[{'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}]","[{'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}]","[{'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}]","[{'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}]","[{'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}]"
"[{'well': 'A1', 'labware': 'Final Plate', 'slot': 3}]","[{'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}, {'well': 'A1', 'labware': 'Sample Plate', 'slot': 2}]","[{'well': 'A1', 'labware': 'Final Plate', 'slot': 3}]","[{'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}]","[{'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}, {'well': 'A1', 'labware': 'Mastermix Plate', 'slot': 1}]","[{'well': 'A1', 'labware': 'Final Plate', 'slot': 3}]","[{'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Final Plate', 'slot': 3}]"
"[{'well': 'A1', 'type': 'Opentrons OT-2 96 Filter Tip Rack 20 µL', 'slot': 5}]",[],[],[],[],"[{'well': 'A3', 'type': 'Opentrons OT-2 96 Filter Tip Rack 20 µL', 'slot': 5}]",[]
,,,,,,
[7.6],[7.6],[7.6],[7.6],[94.0],[4.0],[4.0]
[7.6],[7.6],[7.6],[7.6],[94.0],[4.0],[4.0]
,,,,,,
False,False,False,False,False,False,False
