Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6,Phase 7,Phase 8
200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
"[{'well': 'C1', 'labware': 'opentrons 15mL tube rack', 'slot': 1}, {'well': 'B1', 'labware': 'opentrons 15mL tube rack', 'slot': 1}, {'well': 'A1', 'labware': 'opentrons 15mL tube rack', 'slot': 1}]","[{'well': 'C1', 'labware': 'opentrons 15mL tube rack', 'slot': 4}, {'well': 'B1', 'labware': 'opentrons 15mL tube rack', 'slot': 4}, {'well': 'A1', 'labware': 'opentrons 15mL tube rack', 'slot': 4}]","[{'well': 'C1', 'labware': 'opentrons 15mL tube rack', 'slot': 7}, {'well': 'B1', 'labware': 'opentrons 15mL tube rack', 'slot': 7}, {'well': 'A1', 'labware': 'opentrons 15mL tube rack', 'slot': 7}]","[{'well': 'C1', 'labware': 'opentrons 15mL tube rack', 'slot': 10}, {'well': 'B1', 'labware': 'opentrons 15mL tube rack', 'slot': 10}, {'well': 'A1', 'labware': 'opentrons 15mL tube rack', 'slot': 10}]","[{'well': 'C2', 'labware': 'opentrons 15mL tube rack', 'slot': 1}, {'well': 'B2', 'labware': 'opentrons 15mL tube rack', 'slot': 1}, {'well': 'A2', 'labware': 'opentrons 15mL tube rack', 'slot': 1}]","[{'well': 'C2', 'labware': 'opentrons 15mL tube rack', 'slot': 4}, {'well': 'B2', 'labware': 'opentrons 15mL tube rack', 'slot': 4}, {'well': 'A2', 'labware': 'opentrons 15mL tube rack', 'slot': 4}]","[{'well': 'C2', 'labware': 'opentrons 15mL tube rack', 'slot': 7}, {'well': 'B2', 'labware': 'opentrons 15mL tube rack', 'slot': 7}, {'well': 'A2', 'labware': 'opentrons 15mL tube rack', 'slot': 7}]","[{'well': 'C2', 'labware': 'opentrons 15mL tube rack', 'slot': 10}, {'well': 'B2', 'labware': 'opentrons 15mL tube rack', 'slot': 10}, {'well': 'A2', 'labware': 'opentrons 15mL tube rack', 'slot': 10}]"
"[{'well': 'A1', 'labware': 'Sample plate', 'slot': 3}, {'well': 'A2', 'labware': 'Sample plate', 'slot': 3}, {'well': 'A3', 'labware': 'Sample plate', 'slot': 3}]","[{'well': 'A4', 'labware': 'Sample plate', 'slot': 3}, {'well': 'A5', 'labware': 'Sample plate', 'slot': 3}, {'well': 'A6', 'labware': 'Sample plate', 'slot': 3}]","[{'well': 'A7', 'labware': 'Sample plate', 'slot': 3}, {'well': 'A8', 'labware': 'Sample plate', 'slot': 3}, {'well': 'A9', 'labware': 'Sample plate', 'slot': 3}]","[{'well': 'A10', 'labware': 'Sample plate', 'slot': 3}, {'well': 'A11', 'labware': 'Sample plate', 'slot': 3}, {'well': 'A12', 'labware': 'Sample plate', 'slot': 3}]","[{'well': 'B1', 'labware': 'Sample plate', 'slot': 3}, {'well': 'B2', 'labware': 'Sample plate', 'slot': 3}, {'well': 'B3', 'labware': 'Sample plate', 'slot': 3}]","[{'well': 'B4', 'labware': 'Sample plate', 'slot': 3}, {'well': 'B5', 'labware': 'Sample plate', 'slot': 3}, {'well': 'B6', 'labware': 'Sample plate', 'slot': 3}]","[{'well': 'B7', 'labware': 'Sample plate', 'slot': 3}, {'well': 'B8', 'labware': 'Sample plate', 'slot': 3}, {'well': 'B9', 'labware': 'Sample plate', 'slot': 3}]","[{'well': 'B10', 'labware': 'Sample plate', 'slot': 3}, {'well': 'B11', 'labware': 'Sample plate', 'slot': 3}, {'well': 'B12', 'labware': 'Sample plate', 'slot': 3}]"
"[{'well': 'A1', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'B1', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'C1', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}]","[{'well': 'D1', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'E1', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'F1', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}]","[{'well': 'G1', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'H1', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'A2', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}]","[{'well': 'B2', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'C2', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'D2', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}]","[{'well': 'E2', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'F2', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'G2', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}]","[{'well': 'H2', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'A3', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'B3', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}]","[{'well': 'C3', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'D3', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'E3', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}]","[{'well': 'F3', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'G3', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}, {'well': 'H3', 'type': 'Opentrons OT-2 96 Tip Rack 1000 µL', 'slot': 6}]"
,,,,,,,
[274.7],[274.7],[274.7],[274.7],[274.7],[274.7],[274.7],[274.7]
[274.7],[274.7],[274.7],[274.7],[274.7],[274.7],[274.7],[274.7]
,,,,,,,
True,True,True,True,True,True,True,True
